,benchmark,solution-time,calculation-time,solution-horizon,number-of-robots,attempt
189,benchmark-26,0.003503084182739258,0.015012741088867188,5,4,9
190,benchmark-27,0.10759282112121582,0.22719430923461914,7,8,0
191,benchmark-27,0.10458946228027344,0.22269082069396973,7,8,1
192,benchmark-27,0.10358881950378418,0.21918869018554688,7,8,2
193,benchmark-27,0.10358905792236328,0.22169041633605957,7,8,3
194,benchmark-27,0.1055905818939209,0.22169017791748047,7,8,4
195,benchmark-27,0.10609126091003418,0.2236926555633545,7,8,5
196,benchmark-27,0.10509061813354492,0.22169160842895508,7,8,6
197,benchmark-27,0.10408949851989746,0.22169041633605957,7,8,7
198,benchmark-27,0.10509014129638672,0.22519302368164062,7,8,8
199,benchmark-27,0.10659193992614746,0.2236933708190918,7,8,9
200,benchmark-3,0.006505727767944336,0.0295255184173584,8,2,0
201,benchmark-3,0.006505489349365234,0.02852630615234375,8,2,1
202,benchmark-3,0.007006406784057617,0.029524564743041992,8,2,2
203,benchmark-3,0.006505250930786133,0.029024600982666016,8,2,3
204,benchmark-3,0.006505489349365234,0.028524398803710938,8,2,4
205,benchmark-3,0.006505727767944336,0.02902531623840332,8,2,5
206,benchmark-3,0.006505727767944336,0.029024839401245117,8,2,6
207,benchmark-3,0.006505250930786133,0.029025554656982422,8,2,7
208,benchmark-3,0.006505727767944336,0.029024124145507812,8,2,8
209,benchmark-3,0.006505489349365234,0.029525041580200195,8,2,9
210,benchmark-4,0.017014503479003906,0.05704784393310547,8,3,0
211,benchmark-4,0.01701498031616211,0.05754899978637695,8,3,1
212,benchmark-4,0.017014503479003906,0.06005215644836426,8,3,2
213,benchmark-4,0.017514944076538086,0.056550025939941406,8,3,3
214,benchmark-4,0.01701498031616211,0.05755019187927246,8,3,4
215,benchmark-4,0.017014741897583008,0.058049678802490234,8,3,5
216,benchmark-4,0.016513824462890625,0.056047677993774414,8,3,6
217,benchmark-4,0.01701498031616211,0.057549476623535156,8,3,7
218,benchmark-4,0.017014503479003906,0.0565488338470459,8,3,8
219,benchmark-4,0.01701521873474121,0.05805063247680664,8,3,9
220,benchmark-5,0.02752375602722168,0.11359953880310059,17,4,0
221,benchmark-5,0.02752375602722168,0.11259770393371582,17,4,1
222,benchmark-5,0.027023792266845703,0.11259794235229492,17,4,2
223,benchmark-5,0.027022838592529297,0.11209654808044434,17,4,3
224,benchmark-5,0.027523517608642578,0.11209845542907715,17,4,4
225,benchmark-5,0.028524398803710938,0.1130988597869873,17,4,5
226,benchmark-5,0.02752375602722168,0.11009502410888672,17,4,6
227,benchmark-5,0.027523517608642578,0.11209702491760254,17,4,7
228,benchmark-5,0.0270230770111084,0.11259627342224121,17,4,8
229,benchmark-5,0.02602243423461914,0.11109781265258789,17,4,9
230,benchmark-6,-1.0,-1.0,-1,8,0
231,benchmark-6,-1.0,-1.0,-1,8,1
232,benchmark-6,-1.0,-1.0,-1,8,2
233,benchmark-6,-1.0,-1.0,-1,8,3
234,benchmark-6,-1.0,-1.0,-1,8,4
235,benchmark-6,-1.0,-1.0,-1,8,5
236,benchmark-6,-1.0,-1.0,-1,8,6
237,benchmark-6,-1.0,-1.0,-1,8,7
238,benchmark-6,-1.0,-1.0,-1,8,8
239,benchmark-6,-1.0,-1.0,-1,8,9
240,benchmark-7,0.007006406784057617,0.02051830291748047,5,2,0
241,benchmark-7,0.0065059661865234375,0.020017385482788086,5,2,1
242,benchmark-7,0.007005929946899414,0.020017623901367188,5,2,2
243,benchmark-7,0.007006168365478516,0.020518064498901367,5,2,3
244,benchmark-7,0.007005929946899414,0.02001667022705078,5,2,4
245,benchmark-7,0.0070056915283203125,0.02001786231994629,5,2,5
246,benchmark-7,0.007006168365478516,0.021518468856811523,5,2,6
247,benchmark-7,0.006505727767944336,0.019516706466674805,5,2,7
248,benchmark-7,0.006505727767944336,0.019516706466674805,5,2,8
249,benchmark-7,0.006505727767944336,0.020017623901367188,5,2,9
250,benchmark-8,0.033528804779052734,0.0980837345123291,8,4,0
251,benchmark-8,0.03503060340881348,0.10258913040161133,8,4,1
252,benchmark-8,0.03352856636047363,0.09858489036560059,8,4,2
253,benchmark-8,0.03352856636047363,0.09858536720275879,8,4,3
254,benchmark-8,0.03352832794189453,0.09958600997924805,8,4,4
255,benchmark-8,0.034029245376586914,0.09708333015441895,8,4,5
256,benchmark-8,0.03352808952331543,0.09808182716369629,8,4,6
257,benchmark-8,0.03402972221374512,0.09908533096313477,8,4,7
258,benchmark-8,0.03402900695800781,0.09958553314208984,8,4,8
259,benchmark-8,0.033528804779052734,0.09758424758911133,8,4,9
260,benchmark-9,0.035030364990234375,0.08807706832885742,7,4,0
261,benchmark-9,0.03503060340881348,0.08907723426818848,7,4,1
262,benchmark-9,0.035530805587768555,0.08957767486572266,7,4,2
263,benchmark-9,0.034529685974121094,0.08857512474060059,7,4,3
264,benchmark-9,0.035030364990234375,0.08907723426818848,7,4,4
265,benchmark-9,0.03553032875061035,0.08907604217529297,7,4,5
266,benchmark-9,0.0345301628112793,0.08657526969909668,7,4,6
267,benchmark-9,0.034029483795166016,0.08807587623596191,7,4,7
268,benchmark-9,0.034529924392700195,0.08657431602478027,7,4,8
269,benchmark-9,0.033528804779052734,0.08657526969909668,7,4,9
