,benchmark,solution_time,calculation_time,solution_horizon,number_of_robots,attempt
294,benchmark-36,0.015012741088867188,0.036031246185302734,6,3,
295,benchmark-36,0.014012336730957031,0.036031246185302734,6,3,
296,benchmark-36,0.015012741088867188,0.036031246185302734,6,3,
297,benchmark-36,0.015513181686401367,0.036031246185302734,6,3,
298,benchmark-36,0.01451253890991211,0.036031246185302734,6,3,
299,benchmark-36,0.015513896942138672,0.036031246185302734,6,3,
300,benchmark-37,0.008006572723388672,0.01601386070251465,4,3,
301,benchmark-37,0.008007049560546875,0.01601386070251465,4,3,
302,benchmark-37,0.007506132125854492,0.01601386070251465,4,3,
303,benchmark-37,0.008007049560546875,0.01601386070251465,4,3,
304,benchmark-37,0.008006811141967773,0.01601386070251465,4,3,
305,benchmark-37,0.007506847381591797,0.01601386070251465,4,3,
306,benchmark-37,0.008006811141967773,0.01601386070251465,4,3,
307,benchmark-37,0.007506370544433594,0.01601386070251465,4,3,
308,benchmark-37,0.008006572723388672,0.01601386070251465,4,3,
309,benchmark-37,0.008006572723388672,0.01601386070251465,4,3,
310,benchmark-38,0.06505584716796875,0.16864371299743652,8,3,
311,benchmark-38,0.06205344200134277,0.16864371299743652,8,3,
312,benchmark-38,0.06155276298522949,0.16864371299743652,8,3,
313,benchmark-38,0.060051679611206055,0.16864371299743652,8,3,
314,benchmark-38,0.061553239822387695,0.16864371299743652,8,3,
315,benchmark-38,0.06105232238769531,0.16864371299743652,8,3,
316,benchmark-38,0.06105232238769531,0.16864371299743652,8,3,
317,benchmark-38,0.06205344200134277,0.16864371299743652,8,3,
318,benchmark-38,0.06655764579772949,0.16864371299743652,8,3,
319,benchmark-38,0.06505584716796875,0.16864371299743652,8,3,
320,benchmark-39,1.0629122257232666,3.2147605419158936,13,5,
321,benchmark-39,1.0714197158813477,3.2147605419158936,13,5,
322,benchmark-39,1.0819294452667236,3.2147605419158936,13,5,
323,benchmark-39,1.0669169425964355,3.2147605419158936,13,5,
324,benchmark-39,1.0624120235443115,3.2147605419158936,13,5,
325,benchmark-39,1.0649142265319824,3.2147605419158936,13,5,
326,benchmark-39,1.080928087234497,3.2147605419158936,13,5,
327,benchmark-39,1.0759239196777344,3.2147605419158936,13,5,
